"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"ITM00016061","TORINO BRIC CROCE, IT","1973-05-06",,,"58",,
"ITM00016061","TORINO BRIC CROCE, IT","1973-09-17",,,"64",,"63"
"ITM00016061","TORINO BRIC CROCE, IT","1973-12-13",,,"26","28",
"ITM00016061","TORINO BRIC CROCE, IT","1973-12-17",,,"43",,
"ITM00016061","TORINO BRIC CROCE, IT","1974-03-27",,,"45",,
"ITM00016061","TORINO BRIC CROCE, IT","1974-06-20",,,"65",,"61"
"ITM00016061","TORINO BRIC CROCE, IT","1975-01-30",,,"50","54",
"ITM00016061","TORINO BRIC CROCE, IT","1975-01-31","0.00",,"40","43","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-01","0.00",,"43","48",
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-02","0.00",,"44","50","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-03",,,"42",,"41"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-04",,"1.2","32",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-05","0.51","9.1","31","34","30"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-06","0.12","5.9","40","45","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-07","0.00","3.1","47","52","45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-08","0.00","2.0","48","54","43"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-09","0.00",,"37",,"34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-10",,,"36",,"34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-11","0.00",,"36","39","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-12","0.16","3.9","32",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-13","0.06","1.2","36","41","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-14","0.00",,"42","46","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-15","0.00",,"36",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-16","0.00",,"39","45","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-17","0.00",,"34","39",
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-18","0.00",,"39","48","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-19","0.00",,"43","50","41"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-20","0.00",,"41","45",
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-21","0.00",,"34",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-22","0.00",,"33","39","28"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-23","0.00",,"35","43",
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-24","0.00",,"40","45","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-25","0.00",,"41","46","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-26","0.00",,"41","46","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-27",,,"35","43",
"ITM00016061","TORINO BRIC CROCE, IT","1975-02-28","0.00",,"40","46","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-01","0.00",,"39","41",
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-02","0.02",,"38","39","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-03","0.16",,"40",,"37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-04","0.98",,"37",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-05","0.00",,"39","45","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-06","0.00",,"40","45","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-07","0.00",,"42","48","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-08","0.00",,"45","50","43"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-09","0.87",,"39",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-10","1.81",,"36","37","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-11","0.04",,"38","41","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-12","0.47",,"36",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-13","0.32",,"39","41","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-14","0.20",,"38","45","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-15","0.00",,"40","43","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-16","0.08",,"40","45","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-17","0.00",,"42","50","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-18",,,"37",,"34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-19","0.01",,"33","37",
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-20","0.00",,"34","39","28"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-21","0.00",,"46","55","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-22","0.00",,"41","46",
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-23","0.18",,"33","39","28"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-24","0.00",,"39","48","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-25","0.00",,"45","50","41"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-26","0.00",,"47","54","41"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-27","0.00",,"43","48","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-28","0.00",,"44","54","41"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-29","0.00",,"43","50","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-30","0.05",,"39","41",
"ITM00016061","TORINO BRIC CROCE, IT","1975-03-31",,,"42",,"37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-01",,,"38",,"34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-02","0.00",,"43","50","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-03","0.08",,"39","48","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-04",,,"39",,"36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-05","0.22",,"41","50","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-06","0.12",,"42","50","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-07","0.00",,"41","52","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-08","0.02",,"46","57",
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-09","0.02",,"45","54","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-10","0.01",,"39","46","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-11","0.00",,"40","52","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-12",,,"51","57",
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-13","0.00",,"54","63","45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-14","0.00",,"51","59","45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-15","0.00",,"50","54","45"
